# name: AS Org
# date: 201010
# program start time: 2014-07-20 02:55:23
# file creation time: 2014-07-20 02:55:24
# exe:build-as_org2info.pl
#    argument: -w /project/as2org/families.txt
#    argument: -D 201010
#    argument: /data/external/whois-database-dumps/201010/20101001.delegated-afrinic.txt.gz/data/external/whois-database-dumps/201010/20101001.delegated-apnic.txt.gz/data/external/whois-database-dumps/201010/20101001.delegated-arin.txt.gz/data/external/whois-database-dumps/201010/20101001.delegated-lacnic.txt.gz/data/external/whois-database-dumps/201010/20101001.delegated-iana.txt.gz
# format:org_id|changed|org_name|country|source
@aut-10757-LACNIC|19971119|SSD S. A.|AR|LACNIC
@aut-10778-LACNIC|20020129|MCL Internet|CL|LACNIC
@aut-10785-LACNIC|19980417|Internet Services S.A.|AR|LACNIC
@aut-10794-RIPE|20090803|Bank of America||RIPE
@aut-10795-LACNIC|19971201|Desarrollos Digitales S. A.|AR|LACNIC
@aut-10798-AFRINIC|20050221|SBICSA||AFRINIC
@aut-10807-APNIC|20041221|Hitachi Business International, Ltd.|JP|APNIC
@aut-10824-LACNIC|19971208|BANQUE DE LA REPUBLIQUE D'HAITI|HT|LACNIC
@aut-10834-LACNIC|20100412|Telefonica de Argentina|AR|LACNIC
@aut-10841-LACNIC|19971209|SBT Online System LTDA|BR|LACNIC
@aut-10847-LACNIC|19971210|Podernet, S.A. de C.V.|MX|LACNIC
@aut-10875-LACNIC|19971216|POP-RS|BR|LACNIC
@aut-10881-LACNIC|20010810|Universidade Federal do Parana|BR|LACNIC
@aut-10895-LACNIC|20070604|Prima S.A.|AR|LACNIC
@aut-10897-LACNIC|19971219|CAMARA DOS DEPUTADOS|BR|LACNIC
@aut-109-RIPE|20020215|Cisco Systems Global ASN - ARIN Assigned||RIPE
@aut-10906-LACNIC|20030618|Telecomunicações de Minas Gerais S/A|BR|LACNIC
@aut-10938-LACNIC|20031219|ITEP|BR|LACNIC
@aut-10940-RIPE|20100329|Fonality, Inc.||RIPE
@aut-10954-LACNIC|20031219|SERPRO - Empresa do Ministério da Fazenda|BR|LACNIC
@aut-10964-LACNIC|20041117|Red Cooperativa de Comunicaciones|AR|LACNIC
@aut-10983-LACNIC|20030430|Telecom Argentina S.A.|AR|LACNIC
@aut-10986-LACNIC|20060608|Intermedia Comunicaciones S.A.|AR|LACNIC
@aut-10992-LACNIC|20040115|Giga System|AR|LACNIC
@aut-11008-LACNIC|19981231|Netverk S.A.|AR|LACNIC
@aut-1101-RIPE|20050408|IP-EEND BV||RIPE
@aut-11014-LACNIC|20061027|CPS|AR|LACNIC
@aut-1102-RIPE|20020821|SURFnet BV||RIPE
@aut-1103-RIPE|20090630|SURFnet, The Netherlands||RIPE
@aut-1104-RIPE|20050225|NIKHEF||RIPE
@aut-1105-RIPE|20020821|SURFnet BV||RIPE
@aut-11053-LACNIC|20040115|Sistemas de Tecnologia Avanzada S.A. (STA S.A.)|CO|LACNIC
@aut-11054-RIPE|20100730|LivePerson, Inc||RIPE
@aut-11058-LACNIC|20041103|CABASE Camara Arg de Base de Datos y Serv en Linea|AR|LACNIC
@aut-1106-RIPE|20020821|SURFnet BV||RIPE
@aut-11063-LACNIC|20040115|Microstar S.A.|AR|LACNIC
@aut-1107-RIPE|20020821|SURFnet BV||RIPE
@aut-1108-RIPE|20020821|SURFnet BV||RIPE
@aut-11081-LACNIC|20081204|United Telecommunication Services (UTS)|AN|LACNIC
@aut-11083-LACNIC|20040217|Ocean Fund International Ltd.|MX|LACNIC
@aut-11086-RIPE|20100222|Pitney Bowes PLC||RIPE
@aut-11087-LACNIC|20090326|Comision Federal de Electricidad|MX|LACNIC
@aut-1109-RIPE|20091020|University of Salzburg||RIPE
@aut-11097-LACNIC|20040217|Embrapa|BR|LACNIC
@aut-1110-RIPE|20030403|University of Innsbruck||RIPE
@aut-1111-RIPE|20100303|University of Klagenfurt||RIPE
@aut-1112-RIPE|20030321|Montanuniversitaet Leoben||RIPE
@aut-11125-AFRINIC|20050221|EBIZ||AFRINIC
@aut-1113-RIPE|20010821|Technische Universitaet Graz, AT||RIPE
@aut-11136-LACNIC|20100516|Instituto Tecnológico y de Estudios Superiores de Monterrey|MX|LACNIC
@aut-11139-RIPE|20050224|CW BARBADOS||RIPE
@aut-1114-RIPE|20080116|Universitaet Graz||RIPE
@aut-1115-RIPE|19980325|Austrian Academy of Sciences||RIPE
@aut-11157-AFRINIC|20050221|ELAB-AS||AFRINIC
@aut-1116-RIPE|20090305|Universitaet f. Musik und darstellende Kunst Wien||RIPE
@aut-1117-RIPE|19990809|Universitaet fuer Bodenkultur, Wien||RIPE
@aut-11172-LACNIC|20040723|Alestra, S. de R.L. de C.V.|MX|LACNIC
@aut-1118-RIPE|19970822|ASN-Graz||RIPE
@aut-1119-RIPE|20010426|ASN-Wien||RIPE
@aut-11193-LACNIC|20040315|COMNET S.A.|AR|LACNIC
@aut-112-RIPE|20100520|Root Server Technical Operations Assn||RIPE
@aut-1120-RIPE|20100726|ACOnet Services @ Vienna Internet eXchange||RIPE
@aut-11201-AFRINIC|20050221|BFA-NET-AS||AFRINIC
@aut-1121-RIPE|20090922|VIX Route Server||RIPE
@aut-1122-RIPE|20020819|UK-AS||RIPE
